user_id,username,password,role
116,Eugene116,1is7,member
117,Peter117,74pm,member
118,Laura118,lft8,member
119,Antoinette119,2870,member
120,Marcus120,yjwg,member
121,Nelson121,qyue,manager
122,Leo122,f34u,member
123,Luis123,bd0i,member
124,Justin124,fh4s,manager
125,Douglas125,ljoe,member
126,Gina126,zwjc,member
127,Alejandro127,nhir,member
128,Stacy128,1zdf,member
129,Mabel129,p37d,manager
130,Phillip130,t7qp,member
131,Brenda131,xjao,member
132,Leticia132,zesg,member
133,Marvin133,otxw,manager
134,Jonathan134,clcq,manager
135,Daniel135,31g3,member
136,Sheila136,jdn3,member
137,Audry137,04ri,member
138,Steven138,bh0q,member
139,Randy139,3up0,member
140,Gene140,rjex,member
141,Dora141,qj0d,member
142,William142,sgng,member
143,Gary143,gqyk,member
144,Kimberly144,x0u2,member
145,Juan145,m19c,member
146,Jane146,nmnu,member
147,William147,ojg0,member
148,Mildred148,u2gk,member
149,John149,y3by,member
150,Rich150,aor9,member
151,Michael151,783j,member
152,Todd152,j0z7,manager
153,Freddie153,jjmu,manager
154,Leslie154,idrv,member
155,Danial155,pqwu,member
156,Edith156,kmkw,member
157,Mark157,xy6n,member
158,Barbara158,2qt4,manager
159,Randy159,v97p,member
160,Rosa160,vo46,member
161,Matt161,j7hd,member
162,John162,8all,member
163,Robert163,sqfm,member
164,Grace164,d7ys,member
165,Michael165,xo4e,member
166,Norma166,2z3f,manager
167,Michelle167,otl7,member
168,Helen168,x6y7,member
169,John169,skp0,member
170,Martin170,vtyl,manager
171,Carlos171,4gj5,manager
172,Frances172,jr0e,member
173,Cathy173,8xca,member
174,Bernadette174,4mzx,manager
175,Roxanne175,cost,member
176,Ann176,bhxg,member
177,Dawn177,bfpt,member
178,Jackie178,0ji0,member
179,Daryl179,yzy0,member
180,Timothy180,d8u9,member
181,David181,j1jk,member
182,Jeffrey182,94s6,member
183,John183,pw2r,member
184,Harriet184,9j3h,member
185,Ann185,fnhj,member
186,Mary186,fwts,member
187,Diana187,1saw,member
188,Mohamed188,cpfg,member
189,Lisa189,2481,member
190,Pamela190,2l45,member
191,Jeffrey191,8k5d,manager
192,Nicole192,0hlc,member
193,Harvey193,qqs1,member
194,Mae194,y7pm,member
195,Greg195,e3tl,manager
196,Jessica196,nthi,manager
197,Sarah197,t0dj,member
198,Sharon198,3aed,member
199,Antonio199,e4py,manager
200,Vincent200,uquu,member
201,Patrick201,4vn5,member
202,Demetrius202,j18u,manager
203,Salvador203,m272,member
204,Anneliese204,tfpy,member
205,Susan205,exyq,member
206,Robert206,i1j3,member
207,Anthony207,59cm,member
208,Carol208,ug1p,manager
209,Della209,sy78,member
210,Wendy210,1w0p,manager
211,Robert211,qm8y,member
212,Lina212,tznp,member
213,Ronnie213,w7nk,manager
214,Sergio214,se3d,member
215,Linda215,rcks,member
216,Shanell216,eagl,member
217,Dennis217,2cj8,member
218,Ralph218,hbbl,member
219,Norman219,1mun,member
220,Walter220,qzrn,manager
221,Carl221,4m53,member
222,John222,x2zk,member
223,Jesse223,t7fb,member
224,Courtney224,0x6l,member
225,Leonard225,1zoe,member
226,Jack226,l4gg,member
227,Stefanie227,wloo,member
228,Joan228,s8ge,member
229,Edna229,s5qq,member
230,Richard230,cy4g,member
231,Robert231,8n7s,member
232,Loretta232,jjua,member
233,Benjamin233,p0yu,member
234,Larry234,cevf,manager
235,Barbara235,vh8d,member
236,Diane236,jtu7,member
237,William237,2luw,manager
238,Marsha238,0rpg,member
239,Diana239,nehw,member
240,Jeffrey240,rr9g,member
241,Jerry241,j42c,manager
242,Douglas242,lreq,member
243,Yvonne243,ubsu,member
244,Sandra244,7349,member
245,Jeremy245,ac2n,member
246,Charlotte246,vvt3,member
247,Renee247,s7t0,manager
248,Todd248,m4as,member
249,Donald249,wde3,member
250,James250,14jg,member
251,Linda251,3c0b,member
252,Luz252,ytpy,member
253,David253,lj03,member
254,Carolyn254,dqli,member
255,Mary255,j8xy,member
256,Julie256,g3tn,member
257,Charles257,wr7z,member
258,Dawn258,l2ql,manager
259,Shirley259,u0q0,member
260,John260,37ky,member
261,Jordan261,e5te,member
262,Janelle262,z0h0,member
263,Donald263,zgbf,member
264,Anthony264,vjcf,member
265,Gail265,1scq,member
266,Maria266,o60w,manager
267,Terri267,ornb,member
268,Donald268,zzu2,member
269,Christine269,mbev,member
270,Joanne270,x83g,member
271,John271,vwyv,member
272,James272,8203,manager
273,Brandon273,q2od,member
274,Katherine274,wf99,manager
275,Robert275,0smc,member
276,Annie276,txn1,member
277,Charles277,u0ea,manager
278,Irvin278,gz1b,member
279,Charmain279,fq6g,member
280,Christine280,c2zd,member
281,Edward281,dw25,member
282,Arthur282,wzzb,member
283,Bertha283,nqks,member
284,Shirley284,76pi,member
285,William285,habz,manager
286,Scott286,kiv2,member
287,Joan287,rzeb,member
288,Dorothy288,bwux,member
289,Ana289,nj1f,member
290,Michelle290,c0zy,manager
291,Fred291,tx74,member
292,Erik292,b1gl,member
293,Craig293,stvh,member
294,Terry294,c9jb,member
295,Michael295,67wh,member
296,Jimmy296,oif3,member
297,Harvey297,f00j,member
298,Robert298,7wb3,member
299,Ernie299,7lp1,member
300,Leroy300,tn9a,member
301,William301,a8lw,member
302,Joan302,p5wf,member
303,Alana303,yejr,member
304,Sylvia304,c9gv,member
305,Jorge305,l9bf,member
306,Tommy306,99mx,member
307,Jerry307,iwi7,member
308,Samantha308,d0rz,member
309,Morris309,4hhy,member
310,Marilyn310,yq9o,member
311,Felix311,rd6p,manager
312,Sara312,akeo,member
313,Linda313,kanm,member
314,Moshe314,fipp,member
315,Mary315,sss7,member
316,Willy316,g25f,member
317,Diana317,mdqp,member
318,Penny318,9r27,member
319,Pauline319,gyf6,member
320,Crystal320,mu1i,member
321,Mary321,o3b5,member
322,Margret322,0074,manager
323,Hilary323,gk15,manager
324,Bonnie324,iii4,member
325,Judy325,x638,member
326,Judy326,mhwp,member
327,Lisa327,0jwx,member
328,John328,2jlm,member
329,Natalie329,yizn,member
330,Courtney330,qktv,manager
331,Maria331,s2ha,member
332,Theodore332,3r68,member
333,Robert333,o7n2,member
334,Paul334,fnjk,member
335,Larry335,rlys,member
336,Victor336,7kgi,member
337,Michael337,gqan,member
338,Jane338,txdj,member
339,Randall339,fpbh,member
340,Earlene340,c8lk,manager
341,Maria341,krsp,member
342,Carlos342,jnc0,member
343,Lillian343,rnkc,member
344,Andrea344,9crr,member
345,April345,y49e,member
346,Debra346,xs73,member
347,Camille347,etud,member
348,Amber348,7qeg,member
349,James349,door,member
350,Linda350,yew4,member
351,Elena351,ypvx,member
352,Albert352,ayr2,member
353,Peter353,me1j,member
354,James354,jxh8,member
355,Erin355,1049,member
356,Dominic356,xkk9,manager
357,Andrew357,mv9y,member
358,Sally358,j05z,manager
359,Christian359,6cui,member
360,Rita360,0dqa,member
361,Letisha361,w0b0,member
362,Kenneth362,laeu,member
363,Marjorie363,xhn1,member
364,David364,5re5,member
365,Tiffany365,rmlc,member
366,Joseph366,iklf,member
367,Sandra367,tz6s,manager
368,Barbara368,b12g,member
369,Johnnie369,udwy,member
370,Adrian370,jhv9,manager
371,Minnie371,pu5f,member
372,Patrick372,jnfu,manager
373,Joseph373,i5i5,member
374,Ruby374,lxh9,member
375,Christopher375,npx5,member
376,Paula376,utds,manager
377,Nigel377,k932,member
378,Bobbie378,mb4r,member
379,Kelly379,88sn,member
380,Ruth380,gbpt,manager
381,George381,gvzl,member
382,Bryant382,zt15,manager
383,Sherry383,2027,member
384,Jessica384,3vqa,manager
385,Margaret385,92hf,member
386,Nancy386,dd8q,member
387,Craig387,s1vb,member
388,Kenneth388,3sqo,manager
389,Ralph389,179q,member
390,Juan390,69x1,member
391,Mark391,upq2,member
392,James392,es7q,manager
393,Alfred393,18cl,member
394,Maria394,xomx,member
395,Brady395,q76t,member
396,Kathy396,da6k,member
397,Lora397,coyk,member
398,Javier398,rzvr,manager
399,Johanna399,cwcw,manager
400,Donna400,hpac,manager
401,Barbara401,epdy,member
402,Peter402,dg2v,member
403,Melba403,sgn6,member
404,Jonathan404,e2i1,member
405,Mildred405,piwu,member
406,Richard406,c7o5,member
407,Floyd407,e5vq,member
408,Richard408,740w,member
409,Pablo409,5aza,member
410,Luis410,neuk,member
411,Carla411,sh40,manager
412,Joshua412,44vf,member
413,Daniel413,2j4q,member
414,Sheila414,p4b9,member
415,James415,bgax,manager
416,Thelma416,ecrc,member
417,Nathan417,d7re,member
418,Darren418,o6b1,member
419,Camille419,vg9g,member
420,Lisa420,vec7,manager
421,Jack421,yp7i,member
422,Edward422,aaoi,member
423,Yesenia423,bicw,member
424,Alejandro424,mt2p,manager
425,Lonnie425,cgyd,member
426,Monica426,94tb,member
427,Royal427,r5ux,member
428,Michael428,gvpi,member
429,Glenn429,0mp3,member
430,Michele430,qvsr,member
431,Lynne431,ukb4,member
432,Lori432,1vvu,member
433,Amanda433,xwce,member
434,Matthew434,qfe3,member
435,Leroy435,kgq2,member
436,Jonathan436,wlxl,member
437,Gregory437,ziru,member
438,Donald438,s9w4,member
439,Raymond439,jhd8,member
440,Fallon440,rr1d,member
441,Lucille441,btvo,manager
442,Linda442,84ta,member
443,John443,h752,member
444,Gregory444,5cp2,member
445,Johanna445,dqar,member
446,Norman446,vgtj,member
447,Ben447,ver5,member
448,Amanda448,geox,member
449,Heidi449,yi02,member
450,Freida450,206q,manager
451,Vivian451,el3a,member
452,Elizabeth452,i6q9,member
453,Katie453,kkop,member
454,Jill454,ve6h,member
455,William455,yngc,member
456,Eugenia456,2a5o,member
457,Anna457,cspu,member
458,Ramon458,kilq,member
459,Linda459,0x59,manager
460,Evelyn460,7la6,member
461,Patricia461,56ua,member
462,Timothy462,rbo0,member
463,Kelsey463,8ovd,member
464,Paul464,h1qh,member
465,Shirley465,os2p,member
466,Gregory466,ocrn,manager
467,Joel467,uven,manager
468,Elaine468,4tt6,member
469,Nancy469,0rj5,member
470,Sergio470,squy,manager
471,Ryan471,158k,member
472,Joseph472,9iu5,member
473,Laura473,j8bh,manager
474,Joseph474,n2xb,manager
475,Frank475,z54h,member
476,Melinda476,7t9v,member
477,Raquel477,wwlg,member
478,Brenda478,esy9,member
479,Susan479,oayj,member
480,Leslie480,di7p,member
481,Patricia481,ejl7,member
482,Julia482,est4,manager
483,Holly483,mt03,member
484,Cynthia484,2p2y,member
485,David485,1kgt,member
486,Marcus486,b75m,manager
487,Robert487,70jj,member
488,Dustin488,g44i,member
489,Ernest489,od87,member
490,Monique490,8m38,member
491,Jeffery491,42ks,member
492,Nathan492,hmfx,member
493,Donald493,p1pt,member
494,Mark494,162l,manager
495,Donald495,cto6,member
496,Donna496,3arb,member
497,Jeffrey497,sg6r,member
498,Leah498,nprs,member
499,Leslie499,8h8k,member
500,Lorraine500,qx1c,member
